foram ordenadas 78444 palavras
tempo: 0.9690606594085693
ocorrencias de A: 1449
ocorrencias de ABANDON: 2
ocorrencias de ABANDONED: 3
ocorrencias de ABBEY: 1
ocorrencias de ABHOR: 5
ocorrencias de ABHORRED: 12
ocorrencias de ABHORRENCE: 6
ocorrencias de ABHORRENT: 1
ocorrencias de ABIDE: 1
ocorrencias de ABILITY: 2
ocorrencias de ABJECT: 2
ocorrencias de ABLE: 9
ocorrencias de ABOARD: 1
ocorrencias de ABODE: 6
ocorrencias de ABORTION: 1
ocorrencias de ABORTIVE: 1
ocorrencias de ABOUT: 61
ocorrencias de ABOVE: 13
ocorrencias de ABROAD: 3
ocorrencias de ABRUPT: 1
ocorrencias de ABSENCE: 8
ocorrencias de ABSENT: 6
ocorrencias de ABSOLUTE: 1
ocorrencias de ABSOLUTELY: 2
ocorrencias de ABSOLUTION: 1
ocorrencias de ABSORBED: 2
ocorrencias de ABSORBING: 1
ocorrencias de ABSTAINED: 1
ocorrencias de ABSTRUSE: 1
ocorrencias de ABYSS: 1
ocorrencias de ACCEDED: 1
ocorrencias de ACCENT: 4
ocorrencias de ACCENTS: 6
ocorrencias de ACCEPT: 4
ocorrencias de ACCEPTANCE: 1
ocorrencias de ACCEPTED: 2
ocorrencias de ACCEPTING: 1
ocorrencias de ACCESS: 12
ocorrencias de ACCESSED: 1
ocorrencias de ACCESSIBLE: 1
ocorrencias de ACCIDENT: 6
ocorrencias de ACCIDENTALLY: 1
ocorrencias de ACCIDENTS: 5
ocorrencias de ACCOMPANIED: 9
ocorrencias de ACCOMPANY: 6
ocorrencias de ACCOMPLISH: 2
ocorrencias de ACCOMPLISHED: 2
ocorrencias de ACCOMPLISHMENT: 1
ocorrencias de ACCOMPLISHMENTS: 1
ocorrencias de ACCORDANCE: 2
ocorrencias de ACCORDED: 2
ocorrencias de ACCORDING: 3
ocorrencias de ACCORDINGLY: 11
ocorrencias de ACCOUNT: 21
ocorrencias de ACCOUNTED: 1
ocorrencias de ACCOUNTS: 3
ocorrencias de ACCUMULATED: 4
ocorrencias de ACCUMULATION: 2
ocorrencias de ACCURACY: 2
ocorrencias de ACCURATE: 1
ocorrencias de ACCURSED: 4
ocorrencias de ACCUSATION: 1
ocorrencias de ACCUSATIONS: 1
ocorrencias de ACCUSE: 2
ocorrencias de ACCUSED: 7
ocorrencias de ACCUSES: 1
ocorrencias de ACCUSTOMED: 10
ocorrencias de ACHIEVE: 1
ocorrencias de ACHIEVED: 1
ocorrencias de ACHIEVEMENTS: 1
ocorrencias de ACHING: 1
ocorrencias de ACKNOWLEDGED: 1
ocorrencias de ACME: 1
ocorrencias de ACORNS: 2
ocorrencias de ACQUAINTANCE: 1
ocorrencias de ACQUAINTANCES: 1
ocorrencias de ACQUAINTED: 20
ocorrencias de ACQUIESCED: 1
ocorrencias de ACQUIRE: 2
ocorrencias de ACQUIRED: 3
ocorrencias de ACQUIREMENT: 2
ocorrencias de ACQUIRING: 1
ocorrencias de ACQUISITION: 1
ocorrencias de ACQUIT: 1
ocorrencias de ACQUITTAL: 1
ocorrencias de ACQUITTED: 2
ocorrencias de ACROSS: 17
ocorrencias de ACT: 11
ocorrencias de ACTED: 4
ocorrencias de ACTING: 1
ocorrencias de ACTION: 5
ocorrencias de ACTIONS: 4
ocorrencias de ACTIVE: 5
ocorrencias de ACTIVITY: 3
ocorrencias de ACTOR: 1
ocorrencias de ACTS: 1
ocorrencias de ACTUAL: 3
ocorrencias de ACTUALLY: 2
ocorrencias de ACTUATED: 1
ocorrencias de ACUTENESS: 1
ocorrencias de ADAM: 3
ocorrencias de ADAPT: 1
ocorrencias de ADD: 4
ocorrencias de ADDED: 7
ocorrencias de ADDITION: 1
ocorrencias de ADDITIONAL: 8
ocorrencias de ADDITIONS: 1
ocorrencias de ADDRESS: 4
ocorrencias de ADDRESSED: 13
ocorrencias de ADDRESSES: 1
ocorrencias de ADDUCED: 2
ocorrencias de ADEQUATE: 2
ocorrencias de ADIEU: 2
ocorrencias de ADJACENT: 1
ocorrencias de ADJURATION: 1
ocorrencias de ADMIRABLE: 3
ocorrencias de ADMIRATION: 14
ocorrencias de ADMIRE: 4
ocorrencias de ADMIRED: 3
ocorrencias de ADMISSION: 1
ocorrencias de ADMIT: 1
ocorrencias de ADMITTANCE: 1
ocorrencias de ADOPTED: 1
ocorrencias de ADORATION: 1
ocorrencias de ADORED: 3
ocorrencias de ADORNED: 1
ocorrencias de ADORNS: 1
ocorrencias de ADRIFT: 1
ocorrencias de ADVANCE: 2
ocorrencias de ADVANCED: 13
ocorrencias de ADVANCEMENT: 1
ocorrencias de ADVANCING: 4
ocorrencias de ADVANTAGE: 4
ocorrencias de ADVANTAGES: 2
ocorrencias de ADVENTURE: 1
ocorrencias de ADVENTURER: 1
ocorrencias de ADVENTUROUS: 2
ocorrencias de ADVERSARY: 7
ocorrencias de ADVERSITY: 2
ocorrencias de ADVICE: 2
ocorrencias de ADVISE: 1
ocorrencias de ADVOCATE: 1
ocorrencias de AERIAL: 2
ocorrencias de AFFABILITY: 1
ocorrencias de AFFAIR: 1
ocorrencias de AFFAIRS: 2
ocorrencias de AFFECTATION: 1
ocorrencias de AFFECTED: 3
ocorrencias de AFFECTING: 2
ocorrencias de AFFECTION: 40
ocorrencias de AFFECTIONATE: 7
ocorrencias de AFFECTIONATELY: 1
ocorrencias de AFFECTIONS: 8
ocorrencias de AFFIRM: 1
ocorrencias de AFFIRMATIVE: 2
ocorrencias de AFFLICTED: 2
ocorrencias de AFFLUENCE: 1
ocorrencias de AFFORD: 10
ocorrencias de AFFORDED: 5
ocorrencias de AFFORDING: 3
ocorrencias de AFFORDS: 1
ocorrencias de AFFRIGHT: 2
ocorrencias de AFRAID: 1
ocorrencias de AFRICA: 1
ocorrencias de AFTER: 78
ocorrencias de AFTERNOON: 2
ocorrencias de AFTERWARDS: 17
ocorrencias de AGAIN: 83
ocorrencias de AGAINST: 21
ocorrencias de AGATHA: 22
ocorrencias de AGE: 12
ocorrencias de AGED: 4
ocorrencias de AGENT: 1
ocorrencias de AGENTS: 1
ocorrencias de AGES: 4
ocorrencias de AGGRAVATION: 1
ocorrencias de AGILE: 1
ocorrencias de AGITATED: 7
ocorrencias de AGITATES: 2
ocorrencias de AGITATION: 14
ocorrencias de AGO: 7
ocorrencias de AGONIES: 4
ocorrencias de AGONISED: 1
ocorrencias de AGONISING: 2
ocorrencias de AGONY: 26
ocorrencias de AGREE: 10
ocorrencias de AGREEABLE: 5
ocorrencias de AGREED: 6
ocorrencias de AGREEMENT: 18
ocorrencias de AGRIPPA: 8
ocorrencias de AH: 7
ocorrencias de AID: 10
ocorrencias de AIDED: 2
ocorrencias de AIGUILLES: 1
ocorrencias de AIM: 2
ocorrencias de AIMED: 1
ocorrencias de AIR: 27
ocorrencias de AIRS: 3
ocorrencias de AIRY: 2
ocorrencias de AK: 1
ocorrencias de AKIN: 2
ocorrencias de AL: 2
ocorrencias de ALARM: 4
ocorrencias de ALARMED: 6
ocorrencias de ALARMING: 1
ocorrencias de ALAS: 20
ocorrencias de ALBATROSS: 1
ocorrencias de ALBERTUS: 3
ocorrencias de ALCHEMISTS: 2
ocorrencias de ALIGHTED: 2
ocorrencias de ALIGHTING: 1
ocorrencias de ALIKE: 3
ocorrencias de ALIVE: 9
ocorrencias de ALL: 218
ocorrencias de ALLEGED: 1
ocorrencias de ALLEGING: 2
ocorrencias de ALLEVIATE: 1
ocorrencias de ALLEVIATED: 1
ocorrencias de ALLIED: 1
ocorrencias de ALLOTTED: 1
ocorrencias de ALLOW: 14
ocorrencias de ALLOWED: 20
ocorrencias de ALLOWING: 1
ocorrencias de ALLOY: 1
ocorrencias de ALLUDE: 3
ocorrencias de ALLUDED: 1
ocorrencias de ALLURED: 2
ocorrencias de ALLUREMENTS: 1
ocorrencias de ALLURING: 1
ocorrencias de ALLUSION: 2
ocorrencias de ALMIGHTY: 1
ocorrencias de ALMOST: 40
ocorrencias de ALONE: 45
ocorrencias de ALONG: 13
ocorrencias de ALOUD: 6
ocorrencias de ALPHONSE: 1
ocorrencias de ALPINE: 2
ocorrencias de ALPS: 5
ocorrencias de ALREADY: 33
ocorrencias de ALSO: 68
ocorrencias de ALTER: 4
ocorrencias de ALTERATION: 6
ocorrencias de ALTERATIONS: 1
ocorrencias de ALTERED: 6
ocorrencias de ALTERNATE: 2
ocorrencias de ALTHOUGH: 53
ocorrencias de ALTOGETHER: 1
ocorrencias de ALWAYS: 24
ocorrencias de AM: 126
ocorrencias de AMASSED: 1
ocorrencias de AMAZED: 1
ocorrencias de AMAZING: 1
ocorrencias de AMBITION: 8
ocorrencias de AMELIORATE: 1
ocorrencias de AMEND: 1
ocorrencias de AMERICA: 3
ocorrencias de AMERICAN: 1
ocorrencias de AMIABLE: 14
ocorrencias de AMID: 1
ocorrencias de AMIDST: 8
ocorrencias de AMONG: 51
ocorrencias de AMONGST: 1
ocorrencias de AMOUNTED: 2
ocorrencias de AMPHITHEATRE: 1
ocorrencias de AMPLE: 2
ocorrencias de AMUSE: 2
ocorrencias de AMUSED: 1
ocorrencias de AMUSEMENT: 6
ocorrencias de AMUSEMENTS: 1
ocorrencias de AN: 215
ocorrencias de ANALYSING: 1
ocorrencias de ANALYSIS: 1
ocorrencias de ANATOMISE: 1
ocorrencias de ANATOMY: 1
ocorrencias de ANCESTORS: 1
ocorrencias de ANCHOR: 1
ocorrencias de ANCIENT: 10
ocorrencias de AND: 3046
ocorrencias de ANDES: 1
ocorrencias de ANDREW: 1
ocorrencias de ANEW: 3
ocorrencias de ANGEL: 9
ocorrencias de ANGELIC: 3
ocorrencias de ANGELICA: 1
ocorrencias de ANGER: 5
ocorrencias de ANGRILY: 1
ocorrencias de ANGRY: 2
ocorrencias de ANGUISH: 24
ocorrencias de ANIMAL: 9
ocorrencias de ANIMALS: 4
ocorrencias de ANIMATE: 2
ocorrencias de ANIMATED: 7
ocorrencias de ANIMATING: 1
ocorrencias de ANIMATION: 7
ocorrencias de ANNIHILATION: 3
ocorrencias de ANNOUNCE: 2
ocorrencias de ANNOUNCED: 1
ocorrencias de ANNOYED: 1
ocorrencias de ANNOYING: 1
ocorrencias de ANON: 1
ocorrencias de ANOTHER: 47
ocorrencias de ANSWER: 21
ocorrencias de ANSWERED: 7
ocorrencias de ANSWERS: 1
ocorrencias de ANTELOPE: 1
ocorrencias de ANTICIPATED: 1
ocorrencias de ANTICIPATION: 1
ocorrencias de ANTICIPATIONS: 1
ocorrencias de ANTIPATHY: 1
ocorrencias de ANTIQUE: 1
ocorrencias de ANTIQUITY: 1
ocorrencias de ANXIETY: 8
ocorrencias de ANXIOUS: 5
ocorrencias de ANXIOUSLY: 2
ocorrencias de ANY: 121
ocorrencias de ANYONE: 9
